2021-11-23 23:30:13 [https-jsse-nio-8443-exec-9] ERROR com.rapipay.newOTPGenerate.services.OTPService - order id is null. entered order id is: 0
2021-11-23 23:30:26 [https-jsse-nio-8443-exec-10] INFO  com.rapipay.newOTPGenerate.services.OTPService - Entered generate otp section
2021-11-23 23:30:26 [https-jsse-nio-8443-exec-10] INFO  com.rapipay.newOTPGenerate.services.OTPService - entries saved
2021-11-23 23:33:26 [RMI TCP Connection(7)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2021-11-23 23:33:27 [RMI TCP Connection(7)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2021-11-23 23:33:32 [main] INFO  com.rapipay.newOTPGenerate.NewOtpGenerateApplication - Starting NewOtpGenerateApplication using Java 15.0.2 on DESKTOP-T6L26UM with PID 15396 (C:\Users\DELL\Downloads\newOTPGenerate\newOTPGenerate\target\classes started by DELL in C:\Users\DELL\Downloads\newOTPGenerate\newOTPGenerate)
2021-11-23 23:33:32 [main] DEBUG com.rapipay.newOTPGenerate.NewOtpGenerateApplication - Running with Spring Boot v2.5.6, Spring v5.3.12
2021-11-23 23:33:32 [main] INFO  com.rapipay.newOTPGenerate.NewOtpGenerateApplication - No active profile set, falling back to default profiles: default
2021-11-23 23:33:33 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-11-23 23:33:33 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
2021-11-23 23:33:33 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-11-23 23:33:33 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2021-11-23 23:33:33 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.32.Final
2021-11-23 23:33:33 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2021-11-23 23:33:33 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-11-23 23:33:34 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-11-23 23:33:34 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2021-11-23 23:33:34 [main] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2021-11-23 23:33:35 [main] INFO  springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2021-11-23 23:33:35 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2021-11-23 23:33:35 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2021-11-23 23:33:35 [main] INFO  springfox.documentation.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2021-11-23 23:33:35 [main] INFO  com.rapipay.newOTPGenerate.NewOtpGenerateApplication - Started NewOtpGenerateApplication in 4.321 seconds (JVM running for 5.032)
2021-11-23 23:33:39 [https-jsse-nio-8443-exec-4] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-11-23 23:34:08 [https-jsse-nio-8443-exec-9] INFO  com.rapipay.newOTPGenerate.services.OTPService - entered validate otp section
2021-11-23 23:34:08 [https-jsse-nio-8443-exec-9] INFO  com.rapipay.newOTPGenerate.services.OTPService - otp verified succesfully
2021-11-23 23:36:01 [main] INFO  com.rapipay.newOTPGenerate.NewOtpGenerateApplicationTests - Starting NewOtpGenerateApplicationTests using Java 15.0.2 on DESKTOP-T6L26UM with PID 21444 (started by DELL in C:\Users\DELL\Downloads\newOTPGenerate\newOTPGenerate)
2021-11-23 23:36:01 [main] DEBUG com.rapipay.newOTPGenerate.NewOtpGenerateApplicationTests - Running with Spring Boot v2.5.6, Spring v5.3.12
2021-11-23 23:36:01 [main] INFO  com.rapipay.newOTPGenerate.NewOtpGenerateApplicationTests - No active profile set, falling back to default profiles: default
2021-11-23 23:36:03 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2021-11-23 23:36:03 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.32.Final
2021-11-23 23:36:04 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2021-11-23 23:36:04 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-11-23 23:36:04 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-11-23 23:36:04 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2021-11-23 23:36:05 [main] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2021-11-23 23:36:07 [main] INFO  springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2021-11-23 23:36:07 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2021-11-23 23:36:07 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2021-11-23 23:36:07 [main] INFO  springfox.documentation.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2021-11-23 23:36:08 [main] INFO  com.rapipay.newOTPGenerate.NewOtpGenerateApplicationTests - Started NewOtpGenerateApplicationTests in 7.09 seconds (JVM running for 9.903)
2021-11-23 23:36:08 [main] INFO  com.rapipay.newOTPGenerate.services.OTPService - Entered generate otp section
2021-11-23 23:36:08 [main] INFO  com.rapipay.newOTPGenerate.services.OTPService - Entered generate otp section
2021-11-23 23:36:08 [main] INFO  com.rapipay.newOTPGenerate.services.OTPService - Entered generate otp section
2021-11-23 23:36:08 [main] INFO  com.rapipay.newOTPGenerate.services.OTPService - Entered generate otp section
2021-11-23 23:36:08 [main] INFO  com.rapipay.newOTPGenerate.services.OTPService - Entered generate otp section
2021-11-23 23:36:09 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2021-11-23 23:36:09 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2021-11-23 23:38:02 [main] INFO  com.rapipay.newOTPGenerate.NewOtpGenerateApplicationTests - Starting NewOtpGenerateApplicationTests using Java 15.0.2 on DESKTOP-T6L26UM with PID 30356 (started by DELL in C:\Users\DELL\Downloads\newOTPGenerate\newOTPGenerate)
2021-11-23 23:38:02 [main] DEBUG com.rapipay.newOTPGenerate.NewOtpGenerateApplicationTests - Running with Spring Boot v2.5.6, Spring v5.3.12
2021-11-23 23:38:02 [main] INFO  com.rapipay.newOTPGenerate.NewOtpGenerateApplicationTests - No active profile set, falling back to default profiles: default
2021-11-23 23:38:04 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2021-11-23 23:38:04 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.32.Final
2021-11-23 23:38:04 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2021-11-23 23:38:04 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-11-23 23:38:05 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
